case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.18022535356712024,3.07166,1.07912,1.3422730179311315,0.038185433569073675,-0.21166226692708093,1.4484736591098428,0.9238792013286271,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.21846880676670907,3.72346,1.05624,1.343729908897786,0.03741828351630707,-0.21489998552143802,1.4193012789741977,0.905272197265372,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.2567122599662979,4.37526,1.03336,1.3453829135727586,0.03680113346354046,-0.21835640868523445,1.390264887569546,0.8867519308237434,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.29495571316588665,5.02706,1.01049,1.3474030683004978,0.03605398341077386,-0.22209127733235817,1.3615373264869701,0.8684286454659688,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.33319916636547553,5.67886,0.98761,1.3496777822198824,0.035666574271895124,-0.22616407329058483,1.332955274498178,0.8501981700978724,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.36941720685495416,6.29614,0.97196,1.3426685594782188,0.03518838787468002,-0.22921816467937214,1.3050201330704496,0.832380313356789,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.4036092478983116,6.87889,0.96353,1.3300586638365917,0.03519786970245576,-0.2315738105848322,1.2815514243664712,0.8174112790790303,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.43780128894166903,7.46164,0.9551,1.31815332738661,0.03536761061634364,-0.234068938318068,1.258968242986951,0.8030070602344898,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.47199332998502647,8.04439,0.94668,1.3047046228171706,0.035806315185783,-0.23631406605130384,1.235137772328559,0.7878072835173275,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.506185957764395,8.62715,0.93825,1.2880135864727222,0.03636476066911024,-0.23791945287065178,1.2084787475080316,0.7708033715687147,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.5413660622503438,9.22674,0.93506,1.2525047271755436,0.03503683335800725,-0.23312820780945737,1.171167070192764,0.7470048838147534,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.5775348169148952,9.84318,0.9371,1.2006669042228135,0.03227812878856789,-0.2223474809204872,1.1251449559471987,0.717650622599691,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.6137035715794463,10.45962,0.93914,1.1457111539589804,0.029542015080249794,-0.2105808994093111,1.0759831731290368,0.6862937882104158,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.6498723262439977,11.07606,0.94119,1.0902008445035023,0.026986160458043827,-0.19845001779260177,1.0260861328382513,0.6544679849294344,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.6860404941725379,11.69249,0.94325,1.0373661305841178,0.02488823314694084,-0.1865880998314439,0.9784956026734691,0.624113341803604,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.7161693883394432,12.20599,0.94683,0.9983310028508818,0.02415849223305297,-0.1795103272480801,0.9452497434293003,0.602908152677236,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.7402572485366803,12.61653,0.95192,0.9696100204954401,0.024665642285819574,-0.1764564409563982,0.9229911707100193,0.5887109788057814,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.7643451087339176,13.02707,0.95702,0.9431726653455681,0.025629424219128526,-0.17384618187028608,0.9026351041890156,0.5757272794741864,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.7884329689311547,13.43761,0.96212,0.9165720464346113,0.026613724324661733,-0.1709782545591831,0.8818522973156683,0.5624713925654006,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.812521415864403,13.84816,0.96722,0.8888897182792427,0.02767724717185856,-0.16765369536753777,0.8597519133140491,0.5483751161215337,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.8325883741779828,14.19017,0.95767,0.871086922321016,0.0283628427079524,-0.16748592278417393,0.8342138128991674,0.5320861628041147,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.8486344306079054,14.46365,0.93347,0.8643851087182312,0.028274397224625162,-0.17090975508684914,0.8068775674352072,0.514650299564401,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.8646810737738391,14.73714,0.90927,0.8549571814071282,0.027895433569073674,-0.17446125561451517,0.7773869163380595,0.4958402928991518,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.8807271302037616,15.01062,0.88508,0.8435462494210526,0.028033101794064527,-0.17689586517552672,0.7466059144375852,0.47620726245151385,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.8967731866336843,15.2841,0.86088,0.8283694124434049,0.02887869733015837,-0.1772649835588174,0.7131266597842784,0.4548532068526131,linearly_interpolated_to_CL_req
